Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
,,,,,,,,,,
1,1:42.47,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Bruxelles (BEL),24 AUG 2001,1252,/athletes/athlete=14221887
2,1:42.55,André BUCHER,19 OCT 1976,SUI,1f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1249,/athletes/athlete=14225866
3,1:42.75,André BUCHER,19 OCT 1976,SUI,2,,Bruxelles (BEL),24 AUG 2001,1243,/athletes/athlete=14225866
4,1:42.81,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,2f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1241,/athletes/athlete=14177791
5,1:42.90,André BUCHER,19 OCT 1976,SUI,1,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1238,/athletes/athlete=14225866
6,1:42.96,Wilfred BUNGEI,24 JUL 1980,KEN,3f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1236,/athletes/athlete=14207448
7,1:43.00,William YIAMPOY,17 MAY 1974,KEN,4f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1235,/athletes/athlete=14210002
8,1:43.17,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1230,/athletes/athlete=14221887
9,1:43.22,Paweł CZAPIEWSKI,30 MAR 1978,POL,5f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1228,/athletes/athlete=14216511
10,1:43.30,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,6f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1226,/athletes/athlete=14221887
11,1:43.34,André BUCHER,19 OCT 1976,SUI,1,,St-Denis (FRA),06 JUL 2001,1225,/athletes/athlete=14225866
12,1:43.38,Arthémon HATUNGIMANA,21 JAN 1974,BDI,3,,Bruxelles (BEL),24 AUG 2001,1223,/athletes/athlete=14177807
13,1:43.47,Hezekiel SEPENG,30 JUN 1974,RSA,3,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1221,/athletes/athlete=14221123
14,1:43.58,André BUCHER,19 OCT 1976,SUI,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1217,/athletes/athlete=14225866
15,1:43.63,Joseph Mwengi MUTUA,10 DEC 1978,KEN,4,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1216,/athletes/athlete=14209288
16,1:43.70,André BUCHER,19 OCT 1976,SUI,1,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1213,/athletes/athlete=14225866
17,1:43.76,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,St-Denis (FRA),06 JUL 2001,1212,/athletes/athlete=14221887
18,1:43.78,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,3,,St-Denis (FRA),06 JUL 2001,1211,/athletes/athlete=14177791
19,1:43.82,André BUCHER,19 OCT 1976,SUI,1,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1210,/athletes/athlete=14225866
20,1:43.89,Hezekiel SEPENG,30 JUN 1974,RSA,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1208,/athletes/athlete=14221123
21,1:43.91,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,5,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1207,/athletes/athlete=14177791
22,1:43.98,Bram SOM,20 FEB 1980,NED,6,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1205,/athletes/athlete=14214387
22,1:43.98,Joseph Mwengi MUTUA,10 DEC 1978,KEN,4,,Bruxelles (BEL),24 AUG 2001,1205,/athletes/athlete=14209288
